ID,Type,English,Arabic,ChineseSimplified,ChineseTraditional,Danish,Farsi,French,German,Indonesian,Italian,Japanese,Korean,Malay,Polish,Portuguese,Russian,Spanish,Turkish,Ukrainian,,,,
PLAGUESONG03_11,Song,<i><sprite=1> Your screams of pain will be of no avail <sprite=0></i>,<i><sprite=1> لن يكون هناك جدوى من صرخات الألم <sprite=0></i>,<i><sprite=1>你痛苦尖叫却无济于事<sprite=0></i>,<i><sprite=1>你充滿害怕的尖叫聲是沒用的<sprite=0></i>,<i><sprite=1> Dine skrig er til ingen nytte <sprite=0></i>,<i><sprite=1> از درد نعره خواهی کشید ولی هیچکس به دادت نخواهد رسید <sprite=0></i>,<i><sprite=1> Tes plaintes de douleurs malheureusement seront vaines <sprite=0></i>,<i><sprite=1> Deine Schmerzensschreie erreichen dabei niemandes Ohr <sprite=0></i>,<I><sprite=1> Tak akan ada gunanya lagi kamu berteriak kesakitan <sprite=0></i>,<i><sprite=1> Le tue urla di dolore non ti aiuteranno <sprite=0></i>,<i><sprite=1> 痛みで叫んでも無駄さ <sprite=0></i>,<i><sprite=1> 당신의 고통스러운 비명은 소용없다 <sprite=0></i>,<i><sprite=1> Jeritan kesakitan kamu akan menjadi sia-sia <sprite=0></i>,"<i><sprite=1> Możesz krzyczeć, to nie przyda się <sprite=0></i>",<i><sprite=1> Não ouvirão teus gritos de aflição <sprite=0></i>,"<i><sprite=1> Кричишь ты от боли, удел твой — страдать <sprite=0></i>",<i><sprite=1> Zure min oihuek ez dute ekidingo <sprite=0></i>,<i><sprite=1> Acı çığlıkların boşuna olacak <sprite=0></i>,<i><sprite=1> Благаннями ж не втишиш біль <sprite=0></i>,,,,
PLAGUESONG03_12,Song,"<i><sprite=1> Your bowels contract, 
YOU swell with gas <sprite=0></i>",<i><sprite=1> تتقلص أمعاؤك، ويخرج الريح منك <sprite=0></i>,<i><sprite=1>你的肠道收缩，胀气<sprite=0></i>,<i><sprite=1>你的腸子會生病，你會脹氣<sprite=0></i>,"<i><sprite=1> Du er fuld af gas, og snart er det slut <sprite=0></i>",<i><sprite=1> از درد شکم به خودت خواهی پیچید، و معده ات پر از نفخ خواهد شد <sprite=0></i>,"<i><sprite=1> Tes intestins se contractent, TU sens le gaz en toi <sprite=0></i>","<i><sprite=1> Deine Gedärme winden sich, DEIN Magen ist am Schmoren <sprite=0></i>","<I><sprite=1> Kamu mengiba kontrak, KAMU membengkak dengan gas <sprite=0></i>","<i><sprite=1> Le budella si torcono, TU di gas sei pieno <sprite=0></i>",<i><sprite=1> 腸が活発に動き始め、お前はガスで膨れ上がるだろう <sprite=0></i>,<i><sprite=1> 장이 가스로 가득차 고통스럽다 <sprite=0></i>,"<i><sprite=1> Perut kamu mengecut, KAMU dipenuhi gas <sprite=0></i>","<i><sprite=1> Twoje wnętrzności się kurczą, rozsadza cię GAZ <sprite=0></i>","<i><sprite=1> noite de intestinos em convolução, inchados de gás <sprite=0></i>",<i><sprite=1> Кишки ТЕБЕ крутит и пучит живот <sprite=0></i>,"<i><sprite=1> Zure erraiak bilduko dira, 
eta ZU beteko zara gasez <sprite=0></i>","<i><sprite=1> Bağırsakların büzülecek, gazla ŞİŞECEKSİN <sprite=0></i>","<i><sprite=1> Вже в шлунку біль, тріщать кишки <sprite=0></i>",,,,
PLAGUESONG03_13,Song,<i><sprite=1> One big bottom breath will be your last <sprite=0></i>,<i><sprite=1> سيكون هذا آخر ريح لك <sprite=0></i>,<i><sprite=1>一个响屁就宣告了你的末日<sprite=0></i>,<i><sprite=1>一個響屁會是你的末日<sprite=0></i>,<i><sprite=1> Du forlader verden med en kæmpeprut <sprite=0></i>,<i><sprite=1> یک نفس عمیق آخرین نفس زندگی ات خواهد بود <sprite=0></i>,<i><sprite=1> Un dernier souffle du derrière et ce sera fini pour toi <sprite=0></i>,<i><sprite=1> Jetzt hast du endgültig die Kontrolle verloren <sprite=0></i>,<I><sprite=1> Kamu akan menghembuskan napas terakhir <sprite=0></i>,<i><sprite=1> Un ultimo respiro e creperai in un baleno <sprite=0></i>,<i><sprite=1> 大きくおならをすれば、それがお前の最期となるだろう <sprite=0></i>,<i><sprite=1> 커다란 방귀 한 번이 당신의 마지막이 될 것이다 <sprite=0></i>,<i><sprite=1> Satu nafas bawah besar akan menjadi yang terakhir bagi kamu <sprite=0></i>,<i><sprite=1> Weź oddech jeszcze ten ostatni raz <sprite=0></i>,<i><sprite=1> Pela última vez virá um único último suspiro por trás <sprite=0></i>,"<i><sprite=1> А ну получай заряд газа, урод <sprite=0></i>","<i><sprite=1> Hats sakon bat izango da azkena, zinez <sprite=0></i>",<i><sprite=1> Derin bir nefes sonun olacak <sprite=0></i>,"<i><sprite=1> І смерть зустрінеш, луснеш бо <sprite=0></i>",,,,
PLAGUESONG03_14,ClosedCaption,[farts],[ريح],[放屁],[放屁],[prutter],[گوز],*pète*,[furzt],[kentut],[scoreggia],[おなら],[방귀뀐다],[kentut],[puszcza bąka],[solta um pum],[пукает],[puzkerrak],[yellenme sesi],[пердить],,,,
PLAGUESONG03_15,Song,Now DIE!,مت الآن!,现在去死吧！,現在去死吧！,"og nu, DØ!",الان بمیر!,"Maintenant, MEURS !",Jetzt STIRB!,Sekarang MATI kau!,Ora MUORI!,死ね！,이제 죽어라!,Sekarang MATI!,A teraz GIŃ!,Agora MORRA!,А теперь УМРИ!,Eta orain HIL zaitez!,Şimdi ÖL!,А тепер ПОМРИ!,,,,
PW01_01_01_01,Text,Woohoo! That was so much fun!,وووهوو! لقد كان هذا مرحًا جدًا!,唔吼！太好玩了！,喔耶! 太好玩了!,Woohoo! Ih hvor var det sjovt!,ووهوو! خیلی باحال بود!,Youhou ! C'était trop marrant !,Wuhu! Das hat so viel Spaß gemacht!,Yuuhuu! Tadi itu sangat menyenangkan!,Woohoo! È stato molto divertente!,ヒャッホー！すっごい楽しかった！,우후! 이거 너무 재밌다!,Yeay! Itu sangat seronok!,Juuuhuu! Ale zabawa!,Uhu! Isso foi tão divertido!,Йаху! Это так весело!,"Jo, jo, jo! Hori oso dibertigarria izan da!",Yaşasın! Bu çok eğlenceliydi!,Ого! Це було весело!,,,,
PW01_01_02_01,Text,"I never want to play ""spin the bottle"" again.","لن أمارس لعبة ""تدوير الزجاجة"" مرة أخرى.",我不想再玩“转瓶子”游戏了。,"我再也不想玩""""轉瓶子""""遊戲了。","Jeg vil aldrig spille ""flaskehalsen peger på"" igen.",دیگر هیچوقت نمی خواهم «چرخش بطری» را بازی کنم.,Je ne veux plus jamais rejouer à la bouteille qui tourne.,Ich will nie wieder „Flaschendrehen“ spielen.,"Aku tidak akan pernah mau main """"putar botolnya"""" lagi.","Non voglio giocare al """"gioco della bottiglia"""" mai più.",「ボトル転がしゲーム」は2度とやりたくないな。,나는 다시는 “병 돌리기”를 하고 싶지 않아.,"Saya tidak pernah bermain ""putarkan botol"" sekali lagi.",Już nigdy więcej nie zagram w „butelkę”.,"Não quero nunca mais brincar de """"jogo da verdade"""".",Я больше никогда не буду играть в «бутылочку».,Ez dut berriz 'biratu botilan' jokatu nahi.,"Şişeyi çevirme"""" oyununu asla tekrar oynamak istemiyorum.",Не буду більше гратися в «пляшку».,,,,
PW01_01_02_02,Text,Where the hell did we end up?,إلى أين انتهينا بحق الجحيم؟,我们最后到底会怎样？,我們最後會怎樣?,Hvor dælen er vi henne?,اینجا دیگر چه جهنمی است که از آن سر درآوردیم؟,Où est-ce qu'on a atterri ?,Wo zum Teufel sind wir gelandet?,Kita di mana ini?,Dove diavolo siamo finiti?,どこに来たんだ？,우리가 대체 어디서 끝냈지?,Di mana kita tamat?,"Gdzie my jesteśmy, u licha?",Onde diabos viemos parar?,"Черт возьми, где мы оказались?",Non demontre bukatu dugu?,Nerede bitirdik?,Де ми в дідька опинилися?,,,,
PW01_01_03_01,Text,"Not really sure. As a nestling, -",لست واثقًا حقًا. هذا يشبه العش-,不太确定。作为雏鸟，-,不知道。身為剛成形的地方， -,"Jeg er ikke helt sikker. Før jeg fløj fra reden, -",خیلی مطمئن نیستم. به عنوان یک جوجه، -,"Je ne sais pas trop. En tant qu'oisillon, -",Bin mir nicht ganz sicher. Als Nestling …,"Tidak begitu yakin. Seperti sebuah sarang, -","Non saprei. Mi ha detto un uccellino, -",分からない。ひな鳥としては、-,"확실하지 않아. 새끼를 낳다, -","Tidak benar-benar pasti. Sebagai sarang, -",Nie mam pewności. W moich pisklęcych czasach,Não tenho certeza. Como um filhote...,"Не знаю точно. Когда я был еще птенцом,","Ez dut oso argi. Txitatxo bat baino ez nintzenean, -","Gerçekten emin değilim. Bir yuva olarak, -",Не знаю напевно. Шукаючи комфорту...,,,,
PW01_01_03_02,Text,- I was told about a kind of pathway between our home and the consciousness above.,- لقد كنت على وشك أن أخبرك بنوع المسار بين منزلنا والوعي الموجود في الأعلى.,- 我听说过在我们家与上层意识之间有一种通道。,- 有人跟我說過，在我們家與上方的意識之間有某種通路。,- fik jeg fortalt om en form for sti mellem vores hjem og bevidstheden over os.,- چیزهایی درباره نوعی مسیر بین خانه ما و ضمیر بالا شنیده ام.,- on m'a parlé d'un genre de sentier reliant notre maison avec l’esprit conscient au-dessus.,"- Mir wurde gesagt, es gäbe da einen Pfad zwischen unserem Zuhause und dem Bewusstsein da oben.",- aku diberi tahu soal jalanan di antara kediaman kita dan kesadaran di atasnya.,- di una specie di passaggio tra la nostra casa e la coscienza al di sopra.,- 私たちの家とその上にある意識をつなぐ一種の経路について聞いたことがある。,- 우리 집과 위에 있는 의식 사이에 통로가 있다고 들었습니다.,- saya dimaklumkan tentang sejenis laluan antara rumah kita dan kesedaran di atas.,- mówiono mi o ścieżce łączącej nasz dom oraz znajdującą się powyżej świadomość.,- Ouvi dizer de um caminho entre a nossa casa e a consciência acima.,- мне рассказывали о своего рода пути от нашего дома к сознанию свыше.,- gure etxearen eta goragoko kontzientzia baten arteko bidea aipatu zidaten.,- Evim ve üstündeki şuur arasındaki bir çeşit yol hakkında anlatmışlardı.,- Мені казали про таку собі дорогу від твого дому до свідомості вище.,,,,
PW01_01_03_03,Text,"Allegedly, this place is always morphing, -",أعتقد أن هذا المكان يتحول طوال الوقت-,据说，这个地方总在变，-,據說這個地方總是不斷在變形，-,"Angiveligt forandre det her sted sig hele tiden, -",می گویند، اینجا همیشه مرفین تولید می شود،-,"Apparemment, cet endroit est toujours en transformation, -",Angeblich verändert sich dieser Ort immerzu …,"Kata orang, tempat ini juga selalu berubah, -","Apparentemente, questo posto è in continua trasformazione,",この場所は常に変化し続けていると聞いたことがある、-,"의심할 여지 없이, 이곳은 항상 변형된다, -","Menuduh tempat ini sentiasa dalam morfologi, -",Podobno to miejsce stale się przeobraża.,"Supostamente, este lugar ainda está em formação —","Судя по всему, это место всё время меняется —","Badirudi leku hau beti ari dela aldatzen, -","Sözde, burası her zaman şekil değişiyor, -",Нібито це місце завжди змінюється...,,,,
PW01_01_03_04,Text,- constantly getting reshaped by the new thoughts that filter down from the conscious mind.,- يعيد تغيير شكله باستمرار عن طريق الأفكار الجديدة التي يتم تصفيتها من العقل الإدراكي.,- 受到从意识中过滤得到的新想法影响而不断重塑。,- 持續接受來自意識大腦之新想法的改造。,- det bliver konstant omformet baserede på de nye tanker der bliver filtreret 'Ned' fra overbevidstheden.,- افکار جدیدی که از ضمیر خودآگاه می آیند مدام آن را تحت تأثیر قرار می دهند.,- constamment reformé par les nouvelles idées qui filtrent au travers le l'esprit conscient.,"- Wird ständig durch die neuen Gedanken neu geformt, die vom bewussten Verstand nach unten gefiltert werden.",- terus-menerus berubah oleh gagasan baru yang merembes dari alam sadar.,"- assume costantemente nuove forme, riflettendo i pensieri della mente conscia.",- 意識というフィルターを通して表れる新しい思考により形を変え続ける。,- 의식의 마음에서 걸러내는 새로운 사고로 끊임없이 다시 모양을 갖추어 나가고 있습니다.,- sentiasa dibentuk semula oleh pemikiran baharu yang ditapis dari minda yang sedar.,- nieustannie przeobraża się za sprawą nowych myśli przesiewanych przez świadomy umysł.,- sendo remodelado pelos novos pensamentos que filtrados pela mente consciente.,"- ему придают новую форму мысли, которые приходят из разума.",- gogo kontzientetik datozen ideia berriekin uneoro itxuraldatzen.,- bilinçli zihinden sızan yeni düşüncelerle sürekli olarak yeniden şekilleniyor.,"- постійно змінюється новими думками, які спускаються сюди із свідомості.",,,,
PW01_02_01_01,Text,So you've decided to continue your pointless pursuit.,حسنًا، يبدو أنك قد قررت مواصلة مطاردتك الفارغة.,所以你决定将毫无意义的追求继续下去。,所以你決定要繼續這段毫無意義的追尋。,Så I har besluttet jer for at fortsætte jeres meningsløse jagt.,پس می خواهی همینطور به موش و گربه بازی بی فایده ات ادامه بدهی.,Tu as donc décidé de continuer ta quête futile.,"Du hast also entschieden, deine sinnlose Verfolgungsjagd fortzusetzen.",Jadi kamu sudah memutuskan untuk melanjutkan tujuan tanpa arahmu.,Perciò hai deciso di continuare la tua futile ricerca.,じゃ、無意味な追跡を続けることにしたんだね。,그러니까 당신은 무의미한 추구를 계속 하기로 결정하였군요.,"Jadi, kamu sudah putuskan untuk teruskan perkara yang tiada faedah.",Więc zdecydowaliście się kontynuować ten bezcelowy pościg.,Então você decidiu continuar a sua caçada sem sentido.,"Итак, вы решили продолжить это бессмысленное преследование.","Zure bilaketa hutsalarekin jarraitzea erabaki duzu, beraz.",Dolayısıyla anlamsız takibinize devam etmeye karar verdiniz.,А ви вирішили і далі переслідувати свою незначущу мету.,,,,
PW01_02_01_02,Text,"Come then and dance, let the tides of depression roll over you!",حسنًا، تعال إلي وارقص معي، ودع أمواج المد والجزر الخاص بالاكتئاب تنال منك!,来跳舞吧，让消沉的潮水在你身上起伏！,來跳舞嘛，感受絕望打在你身上!,"Så lad os da danse, lad depressionens bølger vaske over jer!",پس بیا و برقص، بگذار موج های افسردگی تو را غرق کنند!,"Viens et danse, laisse les vagues de la dépression te submerger !","Komm und tanz, und lass die Wellen der Depression über dich hinwegrollen!","Datang dan menarilah, biarkan gelombang depresi memutarmu!","Vieni dunque e balla, lascia che i flussi di negatività scivolino via!",そしたら、踊ろう。鬱の潮に飲み込まれてしまおう！,"와서 춤추어요, 우울증의 물결이 당신 위로 흘러가길!","Jadi, mari sini dan menari, biarkan kemurungan itu menyelubungi kamu!",No to chodźcie i zatańczcie! Niechaj ogarną was fale depresji!,"Venha dançar, deixe as ondas de depressão passarem sobre você!","Тогда идите сюда, давайте потанцуем, и пусть вас захлестнут волны депрессии!","Orduan zatoz eta dantzatu, utzi depresioaren mareari eramaten!","O zaman gel ve dans edelim, depresyonun gelgitlerinin üstesinden gelsin!","Тож ідіть, станцюйте. Нехай вас окропить депресія!",,,,
PW01_02_02_01,Text,Watch the waves!,انتبه للأمواج!,当心海浪！,注意那些浪!,Pas på bølgerne!,مراقب موج ها باش!,Attention aux vagues !,Schau den Wellen zu!,Awas gelombangnya!,Guarda le onde!,波を見て！,파도를 조심해요!,Lihat ombak itu!,Patrz na fale!,Cuidado com as ondas!,Берегись волн!,Begira olatuak!,Dalgaları izleyin!,Дивіться на хвилі!,,,,
PW01_03_01_01,Text,That guy is such a killjoy...,هذا الرجل مفسد للمتعة...,那家伙如此令人扫兴...,那傢伙真的很掃興...,Han er sådan en lyseslukker...,این یارو خیلی ضدحاله...,"Quel rabat-joie, ce gars...",Dieser Typ ist so ein Spielverderber …,Dia suka merusak kesenangan...,Quel tipo è un guastafeste...,あの男は本当に空気が読めない...,저 남자는 정말 흐름을 깨트린다...,Lelaki itu merosakkan keseronokan...,Ale z niego malkontent...,Esse cara é tão desmancha-prazeres...,Этот парень ужасно занудный...,Hau da hau zapuztailea...,Bu herif böyle bir keyfi...,Він такий буркотун...,,,,
PW01_03_02_01,Text,Can't blame him. Everyone has something to lose.,لا ألومه على ذلك. على الجميع خسارة أي شيء.,不能怪他。每个人都有失去的东西。,怪不得他。每個人都有會失去的東西。,Forstår ham godt. Alle har noget at miste.,تقصیر او نیست. هر کسی چیزی برای از دست دادن دارد.,Je peux le comprendre. Nous avons tous quelque chose à perdre.,Ich kann es verstehen. Jeder hat etwas zu verlieren.,Tidak bisa menyalahkannya. Setiap orang harus merelakan sesuatu.,Non posso biasimarlo. Tutti hanno qualcosa da perdere.,しょうがないよ。皆、なにかしら欠点があるよ。,그를 탓할 순 없어. 모든 사람은 무언가 잃을 것을 가지고 있지.,Tidak boleh salahkan dia. Semua orang ada sesuatu untuk alami kerugian.,Trudno go winić. Każdy ma coś do stracenia.,Não posso culpá-lo. Todos temos algo a perder.,"Не могу его винить. Каждому есть, что терять.",Uler dezaket. Guztiok dugu galtzeko zerbait.,Onu suçlayamazsın. Herkesin kaybedecek bir şeyi var.,Не можу його в цьому винуватити. Всім є що втрачати.,,,,
PW01_04_01_01,Text,"More waves of despair. Watch out, Dusty!",مزيد من أمواج اليأس. انتبه يا داستي!,更多绝望的涟漪。灰灰，小心！,又一波絕望襲來。小心，Dusty!,"Flere bølger af rædsel. Pas på, Dusty!",موج های ناامیدی بیشتر. مراقب باش، داستی!,"D'autres vagues de désespoir. Attention, Dusty !","Mehr Wellen der Verzweiflung. Pass auf, Dusty!","Makin banyak gelombang keputusasaan. Awas, Dusty!","Altre ondate di disperazione. Attenzione, Dusty!",絶望の波がさらに押し寄せてきた。気をつけて、Dusty！,"더 많은 절망의 물결. 조심해, 더스티!","Lebih banyak ombak kekecewaan. Berhati-hati, Dusty!","Kolejne fale rozpaczy. Dusty, uważaj!","Mais ondas de desespero. Cuidado, Dusty!","И снова волны отчаяния. Берегись, Дасти!","Etsipen olatu gehiago. Kontuz, Dusty!","Daha çok umutsuzluk dalgası. Dikkat et, Dusty!","Нові хвилі відчаю. Обережно, Дасті!",,,,
PW01_05_01_01,Text,Hey look! A house!,مهلاً، انظر! منزل!,嘿！看！有房子！,嘿，你看! 有房子!,Se der! Et hus!,هی نگاه کن! یک خانه!,"Hé, regarde ! Une maison !","Hey, schau mal! Ein Haus!",Hei lihat! Sebuah rumah!,Ehi guarda! Una casa!,ねぇ見て！家だ！,"어이, 봐바! 집이야!",Hei lihat! Rumah!,"Hej, popatrz! Dom!","Ei, veja! Uma casa!","Эй, смотри! Дом!","Aizu, begira! Etxe bat!",Hey bak! Bir ev!,"Гей, ти глянь! Дім!",,,,
PW01_06_01_01,Text,The place seems abandoned.,هذا المكان يبدو مهجورًا.,这个地方似乎已经荒废了。,這個地方看起來已經荒廢了。,Stedet ser efterladt ud.,انگار متروکه هست.,Cet endroit semble abandonné.,Der Ort scheint verlassen zu sein.,Tempat itu tampak terbengkalai.,Questo posto sembra abbandonato.,誰も住んでいないようだけど。,이 장소는 버려진 것 같아.,Tempat ini nampaknya ditinggalkan.,Wygląda na opuszczony.,Parece que o lugar está abandonado.,"Похоже, что это место заброшено.",Abandonatutako lekua dirudi.,Burası terk edilmiş gibi görünüyor.,"Здається, це місце покинуте.",,,,
PW01_06_02_01,Text,I remember the Sense of Adventure going for a hike not long after you left...,أتذكر حاسة المغامرة عند الخروج للتنزه التي كنا نفعلها منذ فترة طويلة بعد رحيلك...,我记得冒险精神在你离开后就去爬山了...,我記得冒險精神在你離開後就去爬山了...,Jeg kan huske at Følelsen for Eventyr gik på opdagelse kort efter du forsvandt...,یادم می آید که مدتی بعد از اینکه تو رفتی حس ماجراجویی رفت کمی قدم بزند...,Je me rappelle que le Sens de l'aventure était parti en randonnée pas longtemps après ton départ...,"Ich erinnere mich an das Gefühl von Abenteuer auf einer Wanderung, kurz nachdem du weggingst …",Aku ingat Aroma Petualangan untuk jalan-jalan tak lama setelah kamu pergi...,Ricordo di aver visto il Senso dell’Avventura andare a un’escursione poco dopo la tua partenza...,あなたが去ってからほどなくして、冒険心がハイキングに出かけたよ...,당신이 떠나고 오래지 않아 모험의 감각이 등산간 것이 기억나는 군요...,Saya ingat Deria Pengembaraan pergi mendaki tidak lama selepas kamu pergi...,"Pamiętam, że niedługo po tym, jak odszedłeś, Zmysł Przygody wybrał się na wycieczkę...",Eu lembro do Desejo de Aventura sair para uma caminhada logo depois que você partiu...,"Помню как любовь к приключениям отправилась в поход незадолго до того, как ты ушел...",Gogoratzen dut Abenturazaletasuna ibilaldi bat egitera joan zela zuk alde egin eta gutxira...,Yürüyüş için Macera Duygusunun uzun sürmediğini hatırlıyorum...,"Пам'ятаю, що Бажання пригод пішло на прогулянку, коли ти пішов...",,,,
PW01_06_02_02,Text,Wanting to find his own way. ,إنه يريد العثور على طريقه الخاص. ,想找到他自己的出路。 ,希望能找到自己的出路。 ,Han ville finde sine egne veje.,می خواست راهش را پیدا کند. ,Il voulait trouver sa propre voie. ,Seinen eigenen Weg finden zu wollen. ,Ingin menemukan jalannya sendiri. ,Cercando di scoprire la sua strada. ,自分の進む道を見つけたがっていた。 ,스스로 그의 길을 찾고 싶어서 말이죠. ,Ingin mencari jalannya sendiri. ,Chciał znaleźć własną drogę. ,Queria se encontrar. ,Хотела найти свой собственный путь. ,Bere bidea aurkitu nahi zuen.,Kendi yolunu bulmak istiyor.,Бажало знайти власний шлях. ,,,,
PW01_06_03_01,Text,He shouldn't have left Cerebrum City in first place. ,ما كان يجب أن يرحل عن مدينة العقل منذ البداية. ,他从一开始就不该离开大脑城。 ,他一開始就不該離開大腦城。 ,Han burde ikke have forladt Storhjerneby.,اول از همه اینکه نباید شهر مخی را ترک می کردی. ,Il n'aurait jamais dû quitter la Cité Cérébrale pour commencer. ,Er hätte die Großhirn-Stadt gar nicht erst verlassen sollen. ,Ia tidak seharusnya meninggalkan Kota Serebrum. ,"Prima di tutto, non avrebbe dovuto lasciare la Città Cervello. ",そもそも大脳シティを出るべきじゃなかったんだ。 ,우선 그는 세레브럼 도시를 떠났을 꺼에요. ,"Pada awalnya, dia tidak patut meninggalkan Bandar Cerebrum. ",Nie powinien był opuszczać Mózgowia. ,"Ele não devia ter saído da Cidade do Cérebro, para começo de conversa. ",Не стоило ей уходить из Церебрума. ,"Hasteko, hobe ez bazuen Garun Hiritik alde egin.",İlk önce Beyin Şehri'ni terketmemeliydi.,А йому взагалі не слід було йти з Мозкового міста. ,,,,
PW01_06_03_02,Text,"Hmm, that makes two of us...",هممم، هذا يجعلكما...,呃...我们也有同感...,我們也是...,"Hmm, det er vi flere om...",هوم، هر دو تامون نباید این کار رو می کردیم...,"Hum, on est deux dans ce cas...","Hmm, da wären wir schon zu zweit …","Hmm, aku setuju...","Mmh, allora siamo in due...",う～ん、これで僕たちは...,"흠, 우리 둘이서...","Hmm, itu membuatkan kita berdua...","Hmm, czyli już jest nas dwóch...","Hmm, somos dois...","Хм-м, значит, нас таких двое...","Hmm, bagara bi...","Hımm, bu ikimiz arasında...",Гм. Так нас двоє...,,,,
PW01_07_01_01,Text,Someone has been trying to grow new thoughts here.,لقد حاول أحدهم إنبات بعض الأفكار الجديدة هنا.,有些人不断尝试在这里种下新思想。,有人一直想在這裡生出新想法。,Nogen har prøvet at gro nye tanker her.,یکی سعی داشته افکار جدید اینجا بکاره.,Quelqu'un a essayé de planter de nouvelles idées ici.,"Jemand hat versucht, hier neue Gedanken wachsen zu lassen.",Seseorang sudah berusaha menumbuhkan gagasan baru di sini.,Qualcuno ha cercato di far crescere nuovi pensieri qui.,ここで誰かが新しい考えを育てようとしてきた。,누군가 여기서 새로운 사고를 키우려 했던 것 같다.,Seseorang telah cuba mengembangkan pemikiran baru di sini.,Ktoś próbował wyhodować tutaj nowe myśli.,Alguém está criando novos pensamentos por aqui.,Кто-то пытался вырастить здесь новые мысли.,Hemen ideia berriak landatzen saiatu da norbait.,Birisi burada yeni düşünceler geliştirmeye çalışıyor.,Хтось намагався виростити тут нові думки.,,,,
PW01_07_02_01,Text,This place seems too hostile to grow anything. The seed looks all dried out.,هذا المكان يبدو عدائيًا جدًا ضد إنماء أي شيء هنا. تبدو البذور قد جفت تمامًا.,这个地方好像不怀好意，很难种出些什么。种子看上去全干了。,這地方似乎不懷好意，生不出好點子。.種耔看起來都乾掉了。,Stedet ser for fjendligt ud til at gro noget som helst. Frøet ser helt tørret ud.,اینجا برای کاشتن چیزی خیلی خشک به نظر میاد. همه تخم ها انگار خشک شده اند.,Cet endroit semble trop hostile pour faire pousser quoi que ce soit. La graine a l'air toute desséchée.,"Dieser Ort scheint zu feindselig, als dass hier irgendetwas wachsen würde. Der Samen sieht ganz ausgetrocknet aus.",Tempat ini tampak terlalu rapuh untuk ditanami. Benihnya kering semua.,Questo posto sembra troppo ostile per far crescere qualsiasi cosa. I semi sembrano tutti rinsecchiti.,この場所は条件が悪すぎてなにも育てることができなさそうだ。タネはすべて干からびてしまってるようだよ。,이 장소는 무언가를 기르기엔 좋지 않은 것 같다. 씨앗은 모두 마른 것 같다.,"Nampaknya, tempat ini sudah ditawan daripada mengembangkan apa-apa jua. Benih nampaknya semua sudah kering.","To miejsce wygląda na zbyt nieprzyjazne, by cokolwiek tu hodować. Nasionko całe jest wyschnięte.",Este lugar parece muito hostil para criar qualquer coisa. A semente está toda seca.,"Вряд ли здесь что-то вырастет — место слишком неподходящее. Похоже, что это семя совсем засохло.",Leku honek edozer hazteko lur antzua dirudi. Hazia erabat lehortu dela dirudi.,Burası her şeyi büyütmek için çok düşmanca görünüyor. Tohumun tamamı kurumuş gözüküyor.,"Здається, тут занадто ворожа атмосфера, щоб щось виросло. Насіння все засохло.",,,,
PW01_08_01_01,Text,I guess I don't really need this for my drink anymore!,أعتقد أني لم أعد أحتاج هذا لمشروبي بعد الآن!,我想，我的再也不用在饮料里加这个了！,我的飲料應該也用不到這個了!,Jeg har ikke rigtig brug for det her til min drink længere!,فکر می کنم دیگر نیازی به این برای نوشیدنی ام ندارم!,J'imagine que je n'en ai plus vraiment besoin pour ma boisson !,"Ich glaube, ich brauche das nicht mehr für meinen Drink!",Sepertinya aku tidak benar-benar butuh ini untuk minumanku lagi!,Penso che non avrò più bisogno di questo per la mia bevanda!,飲み物にこれはもう必要ないや！,내 음료에 이것들이 더이상 필요하지 않은 것 같다!,Saya rasa saya tidak perlukan ini untuk minuman saya lagi!,Chyba nie potrzebuję tego do mojego drinka!,Acho que não preciso mais disso para a minha bebida!,"Думаю, в мой напиток я это уже не брошу!",Badirudi hau ez dudala gehiago behar nire edariantzako!,Sanırım artık içkim için buna ihtiyacım yok!,"Думаю, це мені більше не знадобиться для напою.",,,,
PW01_08_02_01,Text,Wow. Looks refreshed.,واو. يبدو منتعشًا.,哇哦。看起来精神焕发。,哇喔。看起來都活過來了。,Wow. Ser forfriskende ud!,اووف. انگار جان گرفت.,Ouah. Elle a l'air rafraîchie.,Wow. Sieht erfrischt aus.,Wow. Terlihat segar.,Wow. Sembra essersi rinfrescato.,わお。さっぱりしたように見える。,와우. 개운해 보인다.,Wah. Nampak segar.,Wow. Chyba się pokrzepiło.,Uau. Parece tão revigorada.,"Ух ты. Похоже, ему помогло.",Uau. Berrituta dirudi.,Vaav. Tazelenmiş görünüyor.,"Ого. Здається, посвіжішало.",,,,
PW01_09_01_01,Text,What a cute shell creature!,يا له من مخلوق قشري جميل.,多可爱的有壳生物啊！,真是可愛的帶殼生物!,Sikke et nuttet skalddyr!,چه حیوان لاک دار بامزه ای!,Quelle adorable créature à coquille !,Was für ein niedliches Schalenwesen!,Makhluk Tempurung yang imut!,Che carica questa creatura con il guscio!,なんてかわいらしい殻を持った生き物なの！,정말 귀여운 조개 생명체야!,Betapa comelnya makhluk cengkerang ini!,Jakie urocze stworzenie w skorupie!,Que criatura concha fofa!,Какое милое существо в раковине!,Zeinen oskol izaki polita!,Ne sevimli bir kabuklu yaratık!,Яка мила істота з панциром!,,,,
