key,source,target
C04_Strings_SB/3334_Alowynia_Celebrate_1,"YOU WIELDED THE ELVEN BOW MAGNIFICENTLY, #PLUCKY SQUIRE. @IT SERVED YOU WELL... AND NOW IT MUST RETURN TO THE FORESTS.",
C04_Strings_SB/3334_Tercet_Celebrate_1,"A MAGICAL BOW... WELL I NEVER! @THE EXIT FROM THESE SWAMPS LIES AHEAD. @IF YOU EVER RETURN, YOU'LL BE HAPPILY WELCOMED BACK BY ALL ITS RESIDENTS. @WELL, APART FROM THE BUGS. @YOU DESTROYED ALL OF THEM. @REALLY CRACKING JOB! @FAREWELL, YOUNG ADVENTURERS!",
C04_Strings_SB/3334_Thrash_Celebrate_1,LEGEND!,
C04_Strings_SB/3334_Violet_Celebrate_1,"AMAZING, JOT!",
C04_Strings_SB/3536_Floatio_FoundLove_1,ADVENTURERS! I REUNITED WITH MY LOVE; GILLIETT!,
C04_Strings_SB/3536_Gilliett_FoundLove_1,FLOATIO TOLD ME ALL ABOUT HOW YOU RESCUED HIM. @WE THANK YOU FROM THE BOTTOM OF OUR HEARTS.,
C04_Strings_SB/3536_Violet_FoundLove_1,"WHAT LOVELY FISH. @I'M SOOO GLAD THEY FOUND EACH OTHER. THEY LOOK SO HAPPY TOGETHER! @NOW COME ON, LET'S SKEDADDLE!",
C04_Strings_SB/3536_Thrash_Chat_1,"Y'KNOW... MOONBEARD SAID JOT WAS OFF-SCRIPT HERE... @BUT IT TURNS OUT OFF-SCRIPT DOESN'T HAVE TO MEAN CERTAIN DOOM...",
C04_Strings_SB/3536_Thrash_Chat_2,IMPROVISATION... I DIG IT. LIKE A DRUM SOLO!,
C04_Strings_SB/3536_Violet_Chat_1,PHEW! WE SURVIVED THE SWAMPS!,
C04_Strings_SB/3536_Violet_Chat_2,NOPE! WE FIGURED IT OUT... WE IMPROVISED!,
C04_Strings_SB/3536_Violet_Chat_3,"OR A FREE-FORM PAINTING! @SOUNDS QUITE COOL, DOESN'T IT?",
C04_Strings_SB/6162_SnailChat_TercetBigBoss,"WITH GREAT CAUTION YOU MUST TREAD... @THERE'S A BUZZING BRUTE IN THE NOOK AHEAD!",
C04_Strings_SB/6364_HearBigBug,JOT COULD #HEAR THE BIG BUG #THROUGH THE #ENTRANCEWAY...,
C04_Strings_SB/6364_ReadyBigBugBossFight,HE READIED #HIS BOW...##IT WAS TIME TO #FINISH THIS ##{125}ONCE AND FOR ALL,
C04_Strings_SB/6768_BigBugBested,THE {150}BUG{100} WAS {150}BESTED!{100},
C04_Strings_SB/6768_Triumphant,THE PLUCKY SQUIRE#{125}TRIUMPHANT!{100},
C04_Strings_SB/7374_BrightSun,THE SUN ON THEIR FACES FELT MOST PLEASANT,
C04_Strings_SB/7374_Continued,AS THEY#CONTINUED#ON THEIR WAY.,
C04_Strings_SB/7374_OutOfSwamps,{125}FINALLY!{100 }#OUR HEROES WERE OUT OF THE SWAMPS,
C04_Strings_SB/Desk_Instructions_Bow,JOT GOT THE BOW! @NOW HE CAN DEFEAT THE DASTARDLY BUGS!,
C04_Strings_SB/Desk_Page_BowGet,"YOU GOT THE BOW! @WE MADE A GOOD TAG TEAM, DON'T YOU THINK, JOT? @SO... IT SEEMS THAT HUMGRUMP'S FORCES HAVE MADE THEIR WAY OUTSIDE OF YOUR BOOK... @THIS DOES NOT BODE WELL! @HERE, JUMP INTO THIS STICKY NOTE... @YOU'LL BE ABLE TO GET DOWN TO THE DESK AND BACK TO YOUR BOOK!",
C04_Strings_SB/Desk_Page_StickiesIntro1,"JOT! WE MEET ONCE MORE! @BUT ALAS, IT SEEMS THAT DANGER IS ON THE HORIZON.",
C04_Strings_SB/Desk_Page_StickiesIntro2,"SONNET SWAMP'S LEAST DESIRABLES HAVE EXTRICATED THEMSELVES FROM THE BOOK... @BUT IT DOES AT LEAST APPEAR THAT YOU ARE SUITABLY EQUIPPED THIS TIME! @ERADICATE THESE INVERTEBRATES! #FORTHWITH!",
C04_Strings_SB/FantasyCard_Temp,"Hello, young squire.##I'm afraid that I am not yet prepared for battle.##Take my bow until I am fully implemented!",
C04_Strings_SB/Generic_Sign_ToTomeTower,TO TOME TOWER,
C04_Strings_SB/Generic_SnailChat_ShellySelf,{90}MO... {100}MO... {110}MOTIF!,
C04_Strings_SB/Stickies_BlueRobot_Chat,BZZT! @IMPRESSIVE CHASSIS! @WHAT IS MODEL NUMBER?,
C04_Strings_SB/Stickies_GreenRobot_Chat,"BE CAREFUL NEAR ENERGY CORE, BIPED! @REMOVING CORE INVERTS EMERGENCY GATE SYSTEM! @ZZZK!",
C04_Strings_SB/Stickies_GreenRobot_Chat_2,VVVK! @LAYOUT OF ROBOT CITY - #ALL CHANGED!,
C04_Strings_SB/Stickies_PinkRobot_Chat_1,CONTRAPTION NEED #POWER. @BIPED LOCATE POWER CORE?,
C04_Strings_SB/Stickies_PinkRobot_Chat_2,CONTRAPTION OUTPUT STRANGE PORTAL! @PORTAL VERY SHINY @SHINY VERY GOOD @ZZRK! @EXCELLENT WORK!,
C04_Strings_SB/Stickies_YellowRobot_Chat,GREETINGS BIPED! @ZZRRT! @REQUEST NOT TREAD GREASE HERE @KEEP FLOOR SHINY @SHINY GOOD @ZKK!,
C04_Strings_SB/0506_WP_01_Empty,A _____ BUG SAT IN THE MIDDLE OF THE PATH,
C04_Strings_SB/0506_WP_01_Iteration_01,A [HUGE] BUG SAT IN THE MIDDLE OF THE PATH,
C04_Strings_SB/0506_WP_01_Iteration_02,A [TINY] BUG SAT IN THE MIDDLE OF THE PATH,
C04_Strings_SB/0506_WP_01_Iteration_03,A [FULL] BUG SAT IN THE MIDDLE OF THE PATH,
C04_Strings_SB/0506_WP_01_Iteration_04,A [DRAINED] BUG SAT IN THE MIDDLE OF THE PATH,
C04_Strings_SB/0506_WP_01_Iteration_05,A [SOLID] BUG SAT IN THE MIDDLE OF THE PATH,
C04_Strings_SB/0506_WP_01_Iteration_06,A [BROKEN] BUG SAT IN THE MIDDLE OF THE PATH,
C04_Strings_SB/0506_WP_01_Iteration_07,A [BLOCK] BUG SAT IN THE MIDDLE OF THE PATH,
C04_Strings_SB/0506_WP_02_Empty,A _____ FROG OBSERVED THE BUG,
C04_Strings_SB/0506_WP_02_Iteration_01,A [HUGE] FROG OBSERVED THE BUG,
C04_Strings_SB/0506_WP_02_Iteration_02,A [TINY] FROG OBSERVED THE BUG,
C04_Strings_SB/0506_WP_02_Iteration_03,A [FULL] FROG OBSERVED THE BUG,
C04_Strings_SB/0506_WP_02_Iteration_04,A [DRAINED] FROG OBSERVED THE BUG,
C04_Strings_SB/0506_WP_02_Iteration_05,A [SOLID] FROG OBSERVED THE BUG,
C04_Strings_SB/0506_WP_02_Iteration_06,A [BROKEN] FROG OBSERVED THE BUG,
C04_Strings_SB/0506_WP_02_Iteration_07,A [BLOCK] FROG OBSERVED THE BUG,
C04_Strings_SB/0506_WP_03_Empty,THESE RUINS WERE JUST _____ OF BUGS,
C04_Strings_SB/0506_WP_03_Complete,THESE RUINS WERE JUST [FULL] OF BUGS,
C04_Strings_SB/0506_WP_04_Empty,THE RUSTY GATE WAS _____,
C04_Strings_SB/0506_WP_04_Iteration_01,THE RUSTY GATE WAS [HUGE],
C04_Strings_SB/0506_WP_04_Iteration_02,THE RUSTY GATE WAS [TINY],
C04_Strings_SB/0506_WP_04_Iteration_03,THE RUSTY GATE WAS [CLOSED],
C04_Strings_SB/0506_WP_04_Iteration_04,THE RUSTY GATE WAS [OPEN],
C04_Strings_SB/0506_WP_04_Iteration_05,THE RUSTY GATE WAS [BROKEN],
C04_Strings_SB/0506_WP_05_Empty,THE MOAT WAS COMPLETELY _____ OF WATER,
C04_Strings_SB/0506_WP_05_Iteration_01,THE MOAT WAS COMPLETELY [DRAINED] OF WATER,
C04_Strings_SB/0506_WP_05_Iteration_02,THE MOAT WAS COMPLETELY [FULL] OF WATER,
C04_Strings_SB/0506_WP_06_Empty,JOT PEERED INTO THE _____ GRATE,
C04_Strings_SB/0506_WP_06_Iteration_01,JOT PEERED INTO THE [HUGE] GRATE,
C04_Strings_SB/0506_WP_06_Iteration_02,JOT PEERED INTO THE [TINY] GRATE,
C04_Strings_SB/0506_WP_06_Iteration_03,JOT PEERED INTO THE [CLOSED] GRATE,
C04_Strings_SB/0506_WP_06_Iteration_04,JOT PEERED INTO THE [OPEN] GRATE,
C04_Strings_SB/0506_WP_06_Iteration_05,JOT PEERED INTO THE [BROKEN] GRATE,
C04_Strings_SB/0910_WP_01_Empty,A _____ LILYPAD FLOATED ON THE WATER,
C04_Strings_SB/0910_WP_01_Iteration_01,A [TINY] LILYPAD FLOATED ON THE WATER,
C04_Strings_SB/0910_WP_01_Iteration_02,A [HUGE] LILYPAD FLOATED ON THE WATER,
C04_Strings_SB/12_WP_01_Empty,THE SOUNDS OF THE _____ CHORUS BEGAN TO FADE,
C04_Strings_SB/12_WP_01_Complete,THE SOUNDS OF THE [DAYTIME] CHORUS BEGAN TO FADE,
C04_Strings_SB/1718_WP_01_Empty,IT WAS NOW _____ IN THE SWAMPS,
C04_Strings_SB/1718_WP_01_Iteration_01,IT WAS NOW [NIGHT] IN THE SWAMPS,
C04_Strings_SB/1718_WP_01_Iteration_02,IT WAS NOW [DAYTIME] IN THE SWAMPS,
C04_Strings_SB/1718_WP_02_Empty,THE BRIDGE WAS _____,
C04_Strings_SB/1718_WP_02_Iteration_01,THE BRIDGE WAS [BROKEN],
C04_Strings_SB/1718_WP_02_Iteration_02,THE BRIDGE WAS [HUGE],
C04_Strings_SB/1718_WP_02_Iteration_03,THE BRIDGE WAS [TINY],
C04_Strings_SB/1718_WP_02_Iteration_04,THE BRIDGE WAS [SOLID],
C04_Strings_SB/2122_WP_01_Empty,HERE WAS A STONE _____,
C04_Strings_SB/2122_WP_01_Iteration_01,HERE WAS A STONE [BLOCK],
C04_Strings_SB/2122_WP_01_Iteration_02,HERE WAS A STONE [STAIRCASE],
C04_Strings_SB/2122_WP_02_Empty,WHAT A GREAT CARVED _____,
C04_Strings_SB/2122_WP_02_Iteration_01,WHAT A GREAT CARVED [STAIRCASE],
C04_Strings_SB/2122_WP_02_Iteration_02,WHAT A GREAT CARVED [BLOCK],
C04_Strings_SB/2122_Gnomic_IntroChat_1,"I ONCE FELL IN A HOLE. @... @B... BUT... I SUPPOSE IT'S NOTHING COMPARED TO YOUR ESCAPADES... @YOU WRITE ABOUT THEM SO EVOCATIVELY! @I'M A BIG FAN OF YOUR WORK...",
C04_Strings_SB/0304b_Humgrump_GoblinCinematic,"HELLO LITTLE GOBLIN! @I HAVE A TASK FOR YOU, MY ROTUND PURPLE FRIEND... CONCERNING THAT WRETCHED SQUIRE! @I BOOTED HIM OUT OF THE BOOK, YOU KNOW... BUT HE'S A PERSISTENT LITTLE CREEP... @HE MAY STILL BE OUT THERE, WITH AN EYE ON CAUSING HUMGRUMP TROUBLE. @BUT YOU SEE... HUMGRUMP WILL BRING THE TROUBLE TO HIM! @TAKE A SHOT OF MY METAMAGIC AND A LEAP THROUGH THIS PRETTY PORTAL... @SET YOURSELF FREE OF THESE PAGES... AND GO BULLY THAT WRETCHED PEST!","KAIXO IRATXO TXIKI! @ZURETZAKO LAN BAT DAUKAT, NIRE LAGUN BOROBIL MOREA... EZKUTARI GORROTAGARRI HORRI BURUZKOA DA! @LIBURUTIK KANPORATU NUEN, BADAKIZU... BAINA EKINA DA NAZKANTE HORI... @BALITEKE ORAINDIK HOR ZEHAR IBILTZEA, NIRI ARAZOAK SORTU NAHIAN. @BAINA... NIK SORTUKO DIZKIOT ARAZOAK BERARI! @HAR EZAZU NIRE METAMAGIATIK PIXKA BAT ETA EGIN ATARI EDER HONETATIK JAUZI... @ASKATU ZAITEZ ORRI HAUETATIK... ETA JOAN ZAITEZ ZIKIN HORI ZAPALTZERA!"
C04_Strings_SB/2122_Humgrump_SummonCaterpillars,"SO... MY INSECT SPIES TELL ME... @THE WRETCHED SQUIRE IS AT LARGE IN THESE PAGES AGAIN... @IN THESE VERY SWAMPS! MOST... DISPLEASING. @NO DOUBT HE AND HIS MISERABLE FRIENDS ARE ON THEIR WAY TO ARTIA... @WELL... I'LL SOON PUT AN END TO THEIR ADVENTURES. @I'LL SUMMON UP SOME SQUIRE-KILLERS... @SOME RUSHING... CRUSHING... @{150}CATERPILLARS!{100}",
C04_Strings_SB/Archery_UI_1,FIRE ARROW {Action_Jump},
C04_Strings_SB/Archery_UI_2,CHARGE SHOT (HOLD) {Action_Jump},
C04_Strings_SB/0506_Hint_Intro_Dupe,WE MEET AGAIN.,
C04_Strings_SB/0506_Hint_01,IF YOU FILLED THAT BIG OLD MOAT FULL OF WATER... @YOU MIGHT BE ABLE TO ACCESS SOMEWHERE USEFUL.,
C04_Strings_SB/0506_Hint_02,"IF YOU'VE HIT THE SWITCH, WHY NOT GET DOWN TO THE BOTTOM OF THE MOAT? @YOU MIGHT FIND A HANDY WORD DOWN THERE. @WORTH A GANDER.",
C04_Strings_SB/0910_Hint_Intro_Dupe,HOW GOES IT.,
C04_Strings_SB/0910_Hint_01,"IF YOU TURN THE PAGES, YOU MIGHT RETRIEVE A USEFUL WORD. @A WORD THAT COULD GET YOU ACROSS THIS SLIMY, SWAMPY WATER. @WHY NOT GIVE IT A GO? SOMETHING TO DO, AT LEAST.",
C04_Strings_SB/1718_Hint_Intro_Dupe,HOW DO.,
C04_Strings_SB/1718_Hint_01,"SOME OF THOSE SINGING FROGS MIGHT BE BLOCKING YOUR WAY. @Y'KNOW, WHEN NIGHT BECOMES DAY, THEY SHUFFLE AROUND AND CHANGE POSITIONS. @NOW IF YOU COULD MAKE NIGHT INTO DAY, YOU'D BE ONTO SOMETHING. @DID I MENTION YOU CAN GET USEFUL WORDS FROM PREVIOUS PAGES? @JUST CAME TO MIND, NOT SURE WHY.",
C04_Strings_SB/1718_Hint_02,"WHEN NIGHT BECOMES DAY, THE FROGGIES SHUFFLE BACKWARDS. @BUT IF YOU PUSHED A BLOCK BEHIND ONE OF THEM... @IT'D HAVE NO SPACE TO RETREAT INTO. @WORTH A TRY.",
C04_Strings_SB/2122_Hint_Intro_Dupe,WELL WELL.,
C04_Strings_SB/2122_Hint_01,"IF YOU WANT TO BE GETTIN' UP TO THE RAISED PLATFORM ON THE LEFT THERE... @A LITTLE STAIRCASE MIGHT GET YOU UP. @IF ONLY THAT PUSHABLE BLOCK WERE SHAPED MORE LIKE A SET OF STEPS, HUH? @JUST IMAGINE.",
C04_Strings_SB/2122_Hint_02,"THAT BUG OVER TO THE RIGHT LOOKS HARD TO GET TO, EH? @IF ONLY THAT BIG STAIRCASE WAS MORE LIKE A... BIG FLAT SURFACE. @A BIG, BLOCKY FLAT SURFACE. @WHAT A VISION.",
C04_Strings_SB/0506_WP_03_Iteration02,THESE RUINS WERE JUST [DRAINED] OF BUGS,
C04_Strings_SB/Desk04_TalkingMinibeard_000,"IF YOU'RE LOOKING FOR A LONG-RANGE WEAPON... @THERE'S AN ELVEN WARRIOR AROUND HERE WHO OWNS ONE. @SHE LIVES IN A GAME CARD. HEAD UPWARDS TO FIND HER. @SHE MIGHT TRY AND SHOOT YOU WITH ARROWS, BUT DON'T TAKE IT PERSONALLY.",
C04_Strings_SB/Desk04_TalkingMinibeard_001,"WORD UP. IT'S ME, MINIBEARD. @OR TO GIVE YOU MY FULL NAME; 'MY TALKIN' MINIBEARD'. @I'M A TOY BASED ON THE CHARACTER 'MINIBEARD' FROM THE BOOK 'THE PLUCKY SQUIRE'.  @IT'S ALL A BIT META. BUT MY ADVICE IS VERY PRACTICAL. @IF YOU'RE LOOKING FOR A LONG-RANGE WEAPON... @THERE'S AN ELVEN WARRIOR AROUND HERE WHO OWNS ONE. @SHE LIVES IN A GAME CARD. HEAD UPWARDS TO FIND HER. @SHE MIGHT TRY AND SHOOT YOU WITH ARROWS, BUT DON'T TAKE IT PERSONALLY.",
C04_Strings_SB/Desk04_TalkingMinibeard_002,"HOW DO. YOU NEED TO HEAD UPWARDS. YOU'LL WANT TO FIND A BLOCK TO CLIMB ONTO. @I'M SURE THERE'S ONE AROUND HERE. @I'M VERY SENSITIVE TO THE PROXIMITY OF PLASTIC BLOCKS... @IT'S A FAMILY TRAIT.",
C04_Strings_SB/Desk04_TalkingMinibeard_003,"GREETINGS. YOU'LL NEED A KEY TO GET THROUGH THAT CASTLE DOOR. @ I THINK I SAW ONE AROUND THE SIDE OF THE CASTLE. @TRY EXPLORING THE SKETCHES ON THE WALLS. @EXPLORATION, THAT'S THE KEY. TO FINDING THE KEY.",
C04_Strings_SB/Desk04_TalkingMinibeard_004,"NOW THEN. THERE'S A NOOK AROUND HERE. @A NOOK INTO WHICH YOU COULD PLACE A BOUNCY THING. @TO GET TO THE NOOK, TRY TURNING A CORNER. @ALWAYS PAYS TO PEEK AROUND A CORNER.",
C04_Strings_SB/DeskAll_TalkingMinibeard_001,"NOW THEN. @YOU SEEM TO BE DOING ALRIGHT, LAD.",
C04_Strings_SB/DeskAll_TalkingMinibeard_002,"HEY UP. NO ADVICE RIGHT NOW. @YOU'RE DOING PRETTY GOOD.",
C04_Strings_SB/DeskAll_TalkingMinibeard_003,ALRIGHT NOW. GOOD ADVENTURING. @KEEP IT UP.,
C04_Strings_SB/DeskAll_TalkingMinibeard_004,HOW DO. NOTHING TO REPORT. @ KEEP UP THE GOOD SQUIRING.,
C04_Strings_SB/Wander_Moonbeard_Word,"TURN THE BOOK'S PAGES TO FIND A HELPFUL WORD! @MOONBEARD OUT!",
C04_Strings_SB/2122_Snail_Common_Celebrate_2,YOU SAVED MY SHELL... THANK YOU!!,
C04_Strings_SB/2122_Snail_Common_Celebrate_3,"THE PLUCKY SQUIRE?!?! @I'VE BEEN RESCUED BY A CELEBRITY!!!",
C04_Strings_SB/2122_Snail_Common_Celebrate_4,LIKE A HERO FROM A SHELLSPEARE PLAY... @THE PLUCKY SQUIRE HAS SAVED THE DAY!,
C04_Strings_SB/2122_Snail_Common_Celebrate_5,"YOU BANISHED THOSE BUGS! @YOU'RE JUST AS BRAVE AS I IMAGINED!!",
C04_Strings_SB/3536_Floatio_FoundLove_2,"NOBLE FRIENDS, PLEASE TAKE THIS PRESENT @MAY YOUR PATH AHEAD BE SAFE AND PLEASANT. @FAREWELL!",
C02_Strings_SB/0102_ChapterThree,CHAPTER TWO,BIGARREN KAPITULUA
C02_Strings_SB/0102_TomeTower,TOME TOWER,LIBURUKI DORREA
C02_Strings_SB/0304_CliffHanging,"OUR HEROES#{120}HUNG ON{100}#TO THE#CLIFF'S EDGE#BY THEIR#{120}FINGERNAILS{100}","GURE HEROIEK#LABAR-ERTZARI#{120}EUTSI{100} ZIOTEN#BERAIEN#{120}AZAZKALEKIN{100}"
C02_Strings_SB/0304_HoistedUp,...AND {125}HOISTED UP!{100},...ETA {125}GORANTZ{100} IGO ZITUEN!
C02_Strings_SB/0304_TheyWereGrabbed,THEY WERE {125}GRABBED{100}...,NORBAITEK {125}HELDU{100} ZITUEN...
C02_Strings_SB/0304_WhenSuddenly,WHEN#SUDDENLY...,ETA#BAPATEAN...
C02_Strings_SB/0506_ByThrash,BY#{150}THRASH!{100},{150}THRASH{100}EK!
C02_Strings_SB/0506_ByWho,BY WHOM???,NORK???
C02_Strings_SB/0708_HappyTrioReunited,AND SO WERE VERY HAPPY TO BE REUNITED.,ETA BERRIZ IKUSTEAZ IZUGARRI POZIK ZEUDEN.
C02_Strings_SB/0708_JotVioletChildhoodFriend,"AND JOT AND VIOLET'S {110}CHILDHOOD FRIEND{100}","ETA JOT ETA VIOLETEN {110}UMETAKO LAGUNA{100}"
C02_Strings_SB/0708_ThrashMountainTroll,THRASH WAS A {110}MOUNTAIN TROLL{100},THRASH {110}MENDIKO TROLL{100} BAT ZEN
C02_Strings_SB/0708_TrioReunited,THE TRIO HAD NOT BEEN TOGETHER FOR QUITE A WHILE,HIRUKOTEA ASPALDITIK ELKAR IKUSI GABEA ZEN
C02_Strings_SB/0910_Mojam,MOJAM!!!,MOJAM!!!
C02_Strings_SB/0910_ThrashChatIntro,"I'M JUST STOKED I COULD FIND YOU, DUDES. @AFTER ALL THIS CRAZINESS KICKED OFF I CHECKED IN WITH MOONBEARD... @HE TOLD ME YOU WERE BOTH HEADING TO TOME TOWER. I FIGURED I'D HELP YOU ON YOUR WAY! @THE PATH IS WRECKED, HUH...? WELL, THERE'S MORE THAN ONE ROUTE TO TOME TOWER... @LET'S GET DOWN TO THE GROUND!","EZ DAKIZUE ZE POZA DUDAN ZUEK AURKITUTA, LAGUNAK. @EROKERIA GUZTI HAU HASI ZENEAN, BIZARGIRENGANA JO NUEN ZER GERTATZEN ZEN JAKITEKO... @ZUEK BIAK LIBURUKI DORRERA BIDEAN ABIATU ZINETELA ESAN ZIDAN. ETA ZUEI LAGUNTZERA ETORRI NAIZ! @BIDEA HONDATU EGINDA, EZTA...? TIRA, BADIRA LIBURUKI DORRERA JOATEKO BIDE GEHIAGO... @GOAZEN BEHERANTZ!"
C02_Strings_SB/0910_VioletChatIntro,"THRASH!! HOOO BOY, YOU REALLY SAVED OUR SKINS! ARE WE HAPPY TO SEE YOU! @TRIPLE TROUBLE TOGETHER AGAIN!","THRASH!! EEENE BADA, EDERRETIK SALBATU GAITUZU! POZTEN GARA ZU IKUSTEAZ! @BIHURRI HIRUKOTEA BERRIZ ELKARREKIN!"
C02_Strings_SB/0910_VioletChatOutro,"HUUUUHH... THIS IS... REALLY QUITE... HIGH... ISN'T IT. @WELL... IF ANYONE CAN LEAD THE WAY DOWN... IT'S THRASH. @LET'S DO THIS!","EEEHHH... HAU NAHIKO... NAHIKO-OSO... ALTU DAGO... EZTA. @TIRA... NORBAIT BEHERA GIDATZEKO GAI BADA... HORI THRASH DA. @EGIN DEZAGUN!"
C02_Strings_SB/1112_CoolAsACucumber,"AND HERE WAS THRASH, WAITING ON THE GROUND AS COOL AS A CUCUMBER.","ETA HAN ZEGOEN THRASH, LURREAN ZAIN, LASAI DEMONIO."
C02_Strings_SB/1112_ThrashChat_CoolAsCucumber,NICE CLIMBING DUDE!,ESKALATZE EDERRA TXO!
C02_Strings_SB/1314_ThrashChatIntro,"YOU BOTH GOT DOWN THAT CLIFF SIDE WITH BANGING STYLE! @YOU HAD A GOOD RHYTHM GOING ON THERE, DUDES.","SEKULAKO ESTILOAREKIN JAITSI ZARETE BIAK! @GUSTOKO DUT ZUEN ERRITMOAK, LAGUNAK."
C02_Strings_SB/1314_VioletChatIntro,"YOU THINK?? @YOU KNOW I DID FEEL RATHER GRACEFUL... SORT OF LIKE A HOPPING MOUNTAIN RABBIT. @WELL, NOW WE'RE DOWN ON THE GROUND, BEST GET ON TO TOME TOWER... LEAD THE WAY, PLUCKY SQUIRE!","ZUK USTE?? @EGIA ESAN, NAHIKO JAITSIERA DOTOREA EGIN DUDALA IRUDITU ZAIT... UNTXITXOAN MENDIAN SALTOKA BEZALA. @TIRA, DAGOENEKO BEHEAN GAUDE, ABIATU GAITEZEN LIBURUKI DORRERA... GIDA GAITZAZU, EZKUTARI AUSARTA!"
C02_Strings_SB/1516_VioletChat_LookAtBoulders,"LOOK AT THOSE BOUNCING BOULDERS... THEY'RE JUST VANISHING INTO THIN AIR...!","BEGIRA HARRI SALTARI HORIEI... AIREAN DESAGERTZEN ARI DIRA...!"
C02_Strings_SB/1516_ThrashChat_WatchOut,MAJORLY WEIRD...,ZE ARRAROA...
C02_Strings_SB/1516_Thrash_Bull01,"JOT'S WEARING RED...","JOT GORRIZ JANTZITA DAGO..."
C02_Strings_SB/1516_Thrash_Bull02,"I DON'T THINK BULLS ARE THAT PICKY!","ZEZENARI BERDINTSU IZANGO ZAIO!"
C02_Strings_SB/1516_Violet_Bull01,A BULL! @IT LOOKS ANGRY... @GOOD JOB NONE OF US IS WEARING RED. PHEW!,ZEZEN BAT! @HASERRE DAGOELA DIRUDI... @ESKERRAK GUTAKO INOR EZ DELA GORRIZ JANTZI. FIU!
C02_Strings_SB/1516_Violet_Bull02,... @IS IT RED? I SUPPOSE IT IS KIND OF A RED. @ MORE OF A CRIMSON THAN A SCARLET...,... @GORRIA DA? GORRI ANTZEKO ZERBAIT ZELA USTE NUEN. @ GORRIMINA ESKARLATA BAINO GEHIAGO...
C02_Strings_SB/1718_Hint_1,"THIS FOREST BE DENSE... DIFFICULT TO PUSH THINGS THROUGH IT. @BUT THE PATH MIGHT BE EASIER GOING ALL ROUND... @IF THE FOREST... WASN'T A FOREST. @WEIRD THOUGHT.","BASO HAU ITXIA IZAN DAITEKE... BERTATIK GAUZEKIN IGAROTZEA ZAILA IZAN DAITEKE. @BAINA BIDEA ERRAZAGOA IZAN DAITEKE... @BASOA... EZ BADA BASOA. @HAU EROKERIA."
C02_Strings_SB/1718_Hint_Intro,"YO, JOT.","ZU, JOT."
C02_Strings_SB/1718_Thrash_Dialogue_1,HEY TOPSY!,HEY TOPSY!
C02_Strings_SB/1718_Topsy_Dialogue_1,"AH! GREETINGS, TRAVELLERS THREE. MY NAME IS TOPSY!","AH! ONGI ETORRI, HIRU BIDAIARIAK. NIRE IZENA TOPSY DA!"
C02_Strings_SB/1718_Topsy_Dialogue_2,"I SEE YOU ARE ON A QUEST OF SOME KIND. YOU KNOW... TOPSY MAY BE ABLE TO HELP YOU... @BUT... THERE IS SOMETHING YOU COULD PERHAPS ASSIST ME WITH FIRST...? @NAMELY... MY TUMMY. @IT IS EMPTY. I LEFT MY BISCUITS AROUND HERE SOMEWHERE, YOU SEE... @...AND THE LANDSCAPE... IT SEEMS TO HAVE... CHANGED SOMEWHAT... @WHICH HAS RESULTED IN THOSE BISCUITS BECOMING... LOST!","NOLABAITEKO ABENTURAN ZABILTZATELA IKUSI DUT. BADAKIZUE... TOPSYK AGIAN LAGUNTZEKO AUKERA DU... @BAINA... LEHENENGO ZUEK ZERBAITAN LAGUNDUKO DIDAZUE...? @ETA HORI DA... NIRE TRIPOTXA. @HUTSIK DAGO. NIRE BIXKOTXAK HEMEN INGURUAN UTZI DITUT, BAI? @...ETA INGURUNEA... NOLABAIT... ITXURALDATU EGIN DA... @ETA HORREN ONDORIOZ, NIRE BIXKOTXAK... GALDU EGIN DIRA!"
C02_Strings_SB/1718_Topsy_Dialogue_3,"OH, THAT WOULD BE EXTRAORDINARILY HELPFUL! @A LITTLE ADVICE! @THERE'S A WORD IN THAT SENTENCE JUST THERE... @...THAT MIGHT BE THE KEY TO ALL THESE LANDSCAPE-SHIFTING ANTICS. @YOU MIGHT IDENTIFY WHICH WORD IS CAUSING ALL THE MISCHIEF BY... GIVING IT A GOOD WHACK!","OH, HORI ZORAGARRIA LITZATEKE! @AHOLKU TXIKI BAT! @HORKO ESALDIAN BADAGO HITZ BAT... @...INGURUNEAREN ITXURALDAKETA KONTU HONEKIN ZERIKUSIA IZAN DEZAKEENA. @MALTZURKERIA HORI EGIN DUEN HITZA TOPATZEKO... EMAN ZARTAKO BAT!"
C02_Strings_SB/1718_Violet_Dialogue_1,"A CAT SHOULDN'T BE PARTED FROM THEIR BISCUITS. WE'LL FIND THEM FOR YOU, TOPSY!","KATU BATEK EZIN DU INOIZ BERE BIXKOTXETATIK URRUN EGON. GUK AURKITUKO DITUGU, TOPSY!"
C02_Strings_SB/1718_Topsy_Dialogue_4,"MY BISCUITS! HOW I HAVE DREAMED OF THIS MOMENT! TRAVELLERS, YOU HAVE MY SINCEREST THANKS! @THE PROSPECT OF THIS SNACK BRINGS A SMILE TO MY FACE...","NIRE BIXKOTXAK! UNE HONEKIN AMETSETAN NENBILEN! BIDAIARIAK, NIRE ESKERRIK BEROENAK ZUENTZAT! @HAUEK IKUSTE HUTSAREKIN IRRIBARREA DATORKIT..."
